10138870	40.72148	-73.99581	105	Manhattan	Nolita	1	t	2	98.0
10138996	40.69503	-73.94986	41	Brooklyn	Bedford-Stuyvesant	1	f	1	80.0
10142056	40.77349	-73.95225	99	Manhattan	Upper East Side	16	f	2	94.0
10142499	40.7394	-73.85527	37	Queens	Corona	3	t	1	96.0
10143705	40.72747	-73.98833	60	Manhattan	East Village	1	f	1	100.0
10144140	40.68594	-73.91448	218	Brooklyn	Bushwick	1	f	6	94.0
10148201	40.72888	-73.98496	150	Manhattan	East Village	2	f	1	89.0
10148581	40.7456	-73.99852	52	Manhattan	Chelsea	1	f	1	100.0
10148955	40.68142	-73.95889	210	Brooklyn	Clinton Hill	1	f	4	100.0
10149393	40.76374	-73.98872	115	Manhattan	Hell's Kitchen	1	f	2	100.0
10149453	40.72542	-74.00158	105	Manhattan	SoHo	9	f	1	90.0
10153654	40.72774	-73.98211	80	Manhattan	East Village	1	f	1	93.0
10154138	40.73713	-74.00358	225	Manhattan	West Village	1	f	1	100.0
10154444	40.71275	-73.94299	175	Brooklyn	Williamsburg	4	t	1	100.0
10154702	40.75763	-73.96359	120	Manhattan	Midtown	1	f	1	100.0
10154762	40.79637	-73.96996	65	Manhattan	Upper West Side	2	f	1	89.0
10155003	40.7276	-73.94495	99	Brooklyn	Greenpoint	13	f	1	99.0
10156290	40.7191	-73.98812	160	Manhattan	Lower East Side	2	f	1	96.0
10156314	40.72314	-73.9797	60	Manhattan	East Village	2	f	1	100.0
10156441	40.79739	-73.94054	90	Manhattan	East Harlem	1	f	1	0.0
10156574	40.70524	-74.01278	230	Manhattan	Financial District	1	f	1	93.0
10157256	40.73618	-73.9833	250	Manhattan	Gramercy	4	t	1	97.0
10157977	40.7213	-73.98559	299	Manhattan	Lower East Side	2	f	5	96.0
10158141	40.72895	-73.9934	499	Manhattan	NoHo	31	f	1	0.0
10160215	40.60755	-73.9741	79	Brooklyn	Gravesend	6	f	1	99.0
10161361	40.75658	-73.86807	46	Queens	Jackson Heights	1	f	1	0.0
10162752	40.70491	-73.92367	110	Brooklyn	Bushwick	1	f	1	93.0
10163240	40.80348	-73.9632	70	Manhattan	Morningside Heights	1	f	1	0.0
10163617	40.69145	-73.93536	150	Brooklyn	Bedford-Stuyvesant	1	f	1	100.0
10163936	40.70379	-73.94228	59	Brooklyn	Williamsburg	1	f	1	85.0
10165064	40.79437	-73.97152	165	Manhattan	Upper West Side	1	t	2	99.0
10165181	40.72919	-73.94512	149	Brooklyn	Greenpoint	13	f	1	98.0
10165313	40.72888	-73.94486	129	Brooklyn	Greenpoint	13	f	1	93.0
10165410	40.69392	-73.92262	42	Brooklyn	Bushwick	1	f	1	93.0
10165663	40.68025	-73.91199	120	Brooklyn	Bedford-Stuyvesant	1	t	1	97.0
10166820	40.67174	-73.98616	63	Brooklyn	Park Slope	1	t	1	93.0
10166883	40.79805	-73.93943	180	Manhattan	East Harlem	2	f	4	95.0
10166986	40.71552	-73.93869	220	Brooklyn	Williamsburg	1	f	1	100.0
10167436	40.7075	-73.94055	68	Brooklyn	Williamsburg	3	f	1	96.0
10167860	40.72828	-73.98901	119	Manhattan	East Village	1	t	2	96.0
10171782	40.82914	-73.94254	37	Manhattan	Harlem	1	f	1	86.0
10172621	40.85592	-73.86743	80	Bronx	Bronxdale	1	f	1	0.0
10173750	40.69143	-73.93444	55	Brooklyn	Bedford-Stuyvesant	1	f	1	0.0
10174245	40.79958	-73.96403	50	Manhattan	Upper West Side	1	f	1	0.0
10174662	40.72299	-73.99251	199	Manhattan	Lower East Side	2	t	4	96.0
10175187	40.67851	-73.95566	50	Brooklyn	Crown Heights	1	f	1	0.0
10175678	40.71367	-73.94228	60	Brooklyn	Williamsburg	1	f	1	94.0
10176552	40.76722	-73.92203	135	Queens	Astoria	1	f	1	96.0
10177726	40.70512	-73.94347	64	Brooklyn	Williamsburg	1	f	1	100.0
10182058	40.74674	-73.87995	80	Queens	Elmhurst	5	f	2	93.0
10184162	40.71215	-73.95801	65	Brooklyn	Williamsburg	1	f	1	0.0
10185955	40.69112	-73.77761	48	Queens	St. Albans	1	f	1	91.0
10185960	40.67875	-73.99599	115	Brooklyn	Carroll Gardens	1	f	2	96.0
10186192	40.77026	-73.87561	45	Queens	East Elmhurst	10	t	1	97.0
10186787	40.70352	-73.93798	38	Brooklyn	Williamsburg	1	f	1	100.0
10186876	40.71757	-73.99028	85	Manhattan	Lower East Side	1	f	1	0.0
10187402	40.7533	-73.97162	275	Manhattan	Midtown	1	t	2	99.0
10191601	40.76951	-73.93077	125	Queens	Astoria	1	f	2	100.0
10192564	40.80114	-73.96772	250	Manhattan	Upper West Side	1	f	4	96.0
10192593	40.74392	-73.95147	79	Queens	Long Island City	2	t	3	98.0
10192898	40.7344	-74.00262	105	Manhattan	West Village	1	f	1	0.0
10193343	40.794	-73.94585	0	Manhattan	East Harlem	1	f	1	93.0
10193392	40.76882	-73.94315	70	Manhattan	Roosevelt Island	2	f	1	97.0
10199699	40.83	-73.94931	65	Manhattan	Harlem	2	f	1	0.0
10200715	40.68007	-73.97317	60	Brooklyn	Prospect Heights	1	f	1	98.0
10201295	40.6945	-73.94273	50	Brooklyn	Bedford-Stuyvesant	2	f	1	100.0
10202835	40.69387	-73.92666	35	Brooklyn	Bushwick	1	f	1	94.0
10204682	40.77791	-73.95362	180	Manhattan	Upper East Side	2	f	1	93.0
10205011	40.62586	-73.98079	70	Brooklyn	Borough Park	1	f	1	92.0
10205130	40.80107	-73.93656	220	Manhattan	East Harlem	1	t	2	96.0
10206990	40.76544	-73.98651	135	Manhattan	Hell's Kitchen	96	f	1	100.0
10207267	40.79544	-73.96736	140	Manhattan	Upper West Side	96	f	1	100.0
10207451	40.63267	-73.96199	175	Brooklyn	Flatbush	1	f	1	90.0
10207629	40.79534	-73.96583	180	Manhattan	Upper West Side	96	f	1	95.0
10207847	40.70503	-74.00674	165	Manhattan	Financial District	96	f	1	0.0
10208954	40.72946	-73.8075	55	Queens	Flushing	1	f	16	97.0
10209278	40.7631	-73.98753	0	Manhattan	Hell's Kitchen	1	f	1	0.0
10209973	40.73008	-73.98996	91	Manhattan	East Village	3	f	1	93.0
10210556	40.74729	-73.99107	175	Manhattan	Chelsea	1	f	1	0.0
10211452	40.68851	-73.95151	70	Brooklyn	Bedford-Stuyvesant	1	f	1	0.0
10212685	40.6641	-73.98036	143	Brooklyn	South Slope	2	t	2	94.0
10212862	40.69688	-73.93448	55	Brooklyn	Bushwick	1	f	1	90.0
10222008	40.73133	-73.98747	110	Manhattan	East Village	1	f	1	80.0
10224557	40.65568	-73.95892	30	Brooklyn	Prospect-Lefferts Gardens	2	f	2	0.0
10224832	40.7492	-73.78445	90	Queens	Fresh Meadows	1	f	3	93.0
10224998	40.80033	-73.9528	199	Manhattan	Harlem	5	f	1	0.0
10226511	40.73728	-73.9842	99	Manhattan	Gramercy	1	f	1	0.0
10228901	40.71334	-73.98575	40	Manhattan	Lower East Side	1	f	1	0.0
10229075	40.74443	-73.97949	235	Manhattan	Kips Bay	1	f	1	100.0
10229444	40.7662	-73.92027	62	Queens	Astoria	1	f	1	94.0
10230403	40.65108	-73.73402	85	Queens	Rosedale	1	f	2	90.0
10230429	40.67035	-73.7541	60	Queens	Springfield Gardens	1	t	2	96.0
10231294	40.69454	-73.85041	45	Queens	Woodhaven	6	f	1	96.0
10231620	40.76124	-73.98897	155	Manhattan	Hell's Kitchen	1	f	3	0.0
10232344	40.74666	-73.97847	135	Manhattan	Murray Hill	1	f	1	0.0
10232553	40.71742	-73.95847	165	Brooklyn	Williamsburg	9	t	1	94.0
10233048	40.76166	-73.99197	295	Manhattan	Hell's Kitchen	1	f	1	0.0
